Question,System answer,Found?,Citation,Highlight verified?,Answer correct? (you fill),Citation correct? (you fill),Notes (you fill)
What is the minimum bearing length for a floor joist?,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,
What is the minimum bearing for framing members at their ends?,"Except for battens, framing members must bear on their supporting element a minimum of 30 mm at their ends by their full breadth (thickness). Minimum bearing for specific members (such as bearers, lintels, and various beams) is given in the Notes to the Span Tables of the Supplements.",found,AS 1684.2-2021 clause 1.10 p23,YES,,,
What does breadth mean for a timber member?,"In AS 1684.2-2021, timber dimensions are specified by stating the depth of the member first, followed by its breadth (e.g., 90 mm × 35 mm). Figure 1.7 also indicates that breadth represents the thickness of the member.",found,AS 1684.2-2021 clause 1.9 p22,YES,,,
What standard must visually graded sawn timber conform to?,Visually graded sawn timber must conform to the requirements of either AS 2082 or AS 2858.,found,AS 1684.2-2021 clause 1.11 p23,YES,,,
What is the maximum spacing for floor joists?,"The maximum spacing for floor joists is not a single fixed figure; rather, it is determined by the span capacity of the flooring being used. For tongued and grooved strip and sheet flooring, the maximum joist spacing is specified in Table 5.3, and for timber decking, it is specified in Table 5.4.",found,AS 1684.2-2021 clause 4.2.2.1 p50,YES,,,
What site classes are defined for reactive clay sites?,"The site classes defined for reactive clay sites under Table 4.2.2 of the ABCB Housing Provisions 2022 are:
- Class S: Slightly reactive clay sites
- Class M: Moderately reactive clay or silt sites (which must be classified as M-D for deep-seated movement)
- Class H: Highly reactive clay sites
- Class E: Extremely reactive clay sites",found,ABCB Housing Provisions 2022.pdf clause Table 4.2.2 p46,YES,,,
What is a Class M site?,A Class M site refers to moderately reactive clay or silt sites that can experience moderate ground movement due to moisture changes.,found,ABCB Housing Provisions 2022.pdf clause Table 4.2.2 p46,YES,,,
What is the minimum characteristic strength of concrete for footings?,"I am sorry, but the supplied documents do not contain information regarding the minimum characteristic strength of concrete for footings.",NOT FOUND,,,,,
What is the minimum cover to reinforcement in a slab?,"I am sorry, but the provided documents do not contain information on the minimum cover to reinforcement in a slab.",NOT FOUND,,,,,
What is the minimum ceiling height for a habitable room?,"In a habitable room excluding a kitchen, the ceiling height must be not less than 2.4 m, while in a kitchen, it must be not less than 2.1 m. For habitable rooms with a sloping ceiling or projections, an attic requires a minimum height of 2.2 m over at least two-thirds of the floor area, and other habitable rooms require a minimum height of 2.4 m over two-thirds of the floor area.",found,ABCB Housing Provisions 2022.pdf clause 10.3.1 p263,YES,,,
What is the minimum ceiling height for a bathroom?,The minimum height requirement for a ceiling in a bathroom is 2.1 m.,found,ABCB Housing Provisions 2022.pdf clause 10.3.1 p263,YES,,,
What are the requirements for a smoke alarm location?,"In Class 1a buildings (in accordance with 9.5.2 and 9.5.4) and Class 1b buildings (in accordance with 9.5.3 and 9.5.4), smoke alarms must be installed on or near the ceiling as follows:
- On a ceiling: Located at least 300 mm away from the wall-ceiling corner junction, and between 500 mm and 1500 mm away from the apex or high point if the ceiling is sloping.
- On a wall: Where ceiling installation is not possible, it may be placed on the wall between 300 mm and 500 mm below the ceiling at the wall junction.",found,ABCB Housing Provisions 2022.pdf clause 9.5.1 p236,YES,,,
What is the minimum width of an accessible walkway?,"A walkway is defined as any surface on a continuous accessible path of travel with a gradient not steeper than 1 in 20. Unless otherwise specified (such as at doors, curved ramps, and similar), the minimum unobstructed width of a continuous accessible path of travel is 1000 mm.",found,AS 1428.1-2009 clause 6.3 p10,NO,,,
What is the maximum gradient for an accessible ramp?,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,
What is the minimum circulation space at a doorway?,"The minimum circulation space at a doorway depends on the doorway type, direction of approach, and clear opening width (D). For sliding doors, the clear circulation space must not be less than the dimensions specified in the tables in Figure 32 for the corresponding clear opening width, while circulation spaces for swinging doors are set out in Figure 31.",found,AS1428.1-2009 Access for people with disability.pdf clause 13.3.3.1 p61,NO,,,
What is the minimum swimming pool fence height?,"I am sorry, but the provided documents do not contain information regarding the minimum swimming pool fence height.",NOT FOUND,,,,,
What is the minimum R-value for ceiling insulation in Melbourne?,"The minimum R-value for ceiling insulation in Melbourne was not found in the supplied documents, as the ABCB Housing Provisions 2022 text provided does not specify which climate zone applies to Melbourne.",NOT FOUND,,,,,
How deep must an electrical cable be buried?,I am unable to answer this question because the supplied documents (ABCB Housing Provisions 2022 and AS 1684.2-2021) do not contain information regarding how deep an electrical cable must be buried.,NOT FOUND,,,,,
